2025-06-27 16:52:34 | INFO | ecmwf.datastores.legacy_client:192 | Request ID is ee3acecf-0e2c-4dbc-ab4e-5a27635589a8
2025-06-27 16:52:34 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to accepted
2025-06-27 17:06:33 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to successful
2025-06-27 17:06:34 | INFO | multiurl.base:119 | Downloading https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-cache-3/2025-06-27/c44df7394f0dfe33e3134067e28f577.nc
2025-06-27 17:06:55 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to running
2025-06-27 17:08:18 | INFO | era5_download_pipeline.pipeline.download:21 | Downloading total_precipitation for 1992 to /tmp/era5_downloads/tp/tp_1992.nc
2025-06-27 17:08:18 | WARNING | ecmwf.datastores.legacy_client:192 | [2025-06-23T00:00:00] Scheduled System Session affecting Service reliability - 30 June 2025. Please follow status [here](https://status.ecmwf.int/) or in our [forum](https://forum.ecmwf.int/t/scheduled-maintenance-of-the-cloud-infrastructure-on-30-june-2025/13598)
2025-06-27 17:08:18 | INFO | ecmwf.datastores.legacy_client:192 | [2025-06-16T00:00:00] CC-BY licence to replace Licence to use Copernicus Products on 02 July 2025. More information available [here](https://forum.ecmwf.int/t/cc-by-licence-to-replace-licence-to-use-copernicus-products-on-02-july-2025/13464)
2025-06-27 17:08:18 | INFO | ecmwf.datastores.legacy_client:192 | [2025-06-10T00:00:00] To improve our C3S service, we need to hear from you! Please complete this very short [survey](https://confluence.ecmwf.int/x/E7uBEQ/). Thank you.
2025-06-27 17:08:18 | INFO | ecmwf.datastores.legacy_client:192 | [2024-09-26T00:00:00] Watch our [Forum](https://forum.ecmwf.int/) for Announcements, news and other discussed topics.
2025-06-27 17:08:20 | INFO | ecmwf.datastores.legacy_client:192 | Request ID is f2c273e8-405e-432b-ae76-7ff6c4bfb45c
2025-06-27 17:08:20 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to accepted
2025-06-27 17:19:00 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to successful
2025-06-27 17:19:00 | INFO | ecmwf.datastores.legacy_client:192 | status has been updated to running
2025-06-27 17:19:00 | INFO | multiurl.base:119 | Downloading https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-cache-2/2025-06-27/5a0a92667d0c9d9d77125657cb4b05e0.nc
2025-06-27 17:22:43 | INFO | root:43 | Logging started; file -> /Users/au728490/Library/CloudStorage/OneDrive-Aarhusuniversitet/PhD_AU/Python_Scripts/DiffusionModels/SBGM_SD/era5_logs/era5_download.log, level -> INFO
