Schurn,dist_KL_GEN,dist_KL_LR,dist_KS_GEN,dist_KS_LR,dist_W1_GEN,dist_W1_LR,ext_P95_GEN,ext_P95_HR,ext_P95_ratio_GEN_HR,ext_P99_GEN,ext_P99_HR,ext_P99_ratio_GEN_HR,ext_wetfreq_GEN,ext_wetfreq_HR,ext_wetfreq_ratio_GEN_HR,ext_wethit_GEN,prob_CRPS_mean,prob_EnergyScore_mean,prob_PIT_KS_D,prob_PMM_MAE_mean,prob_RankHist_max_abs_z,prob_SpreadSkill_r,prob_SpreadSkill_slope,prob_VariogramScore_mean,rho,sampler_id,scale_FSS_ens_mean,scale_FSS_gen_mean,scale_FSS_lr_mean,scale_ISS_ens_mean,scale_ISS_gen_mean,scale_ISS_lr_mean,sigma_scale
0.5,0.008998,0.018182,0.574399,0.137305,1.776073,0.336129,7.610659,9.889737,0.7695512024232798,14.874874,18.511743,0.8035371925809471,0.311816,0.339937,0.9172758481718671,0.785,0.747372,nan,0.084597,1.097269,249.838007,0.909744,0.973847,nan,7.0,rho=7.00_Schurn=0.50_sigscale=1.05,,0.596335,,,0.829639,,1.05
0.5,0.008165,0.018247,0.58013,0.140074,1.739419,0.333068,7.444765,9.64259,0.7720710929325005,14.581609,17.982023,0.8108992519918364,0.307233,0.332157,0.9249631951155628,0.784066,0.726783,nan,0.075921,1.068708,214.249722,0.908085,0.952055,nan,7.0,rho=7.00_Schurn=0.50_sigscale=1.10,,0.593032,,,0.830469,,1.1
1.0,0.010886,0.01791,0.585521,0.137517,1.668148,0.324359,7.213635,9.695477,0.7440206397271635,14.313998,18.222685,0.7855043315515798,0.291716,0.327046,0.8919723830898405,0.763713,0.745414,nan,0.096084,1.07407,307.981862,0.90711,0.98976,nan,7.0,rho=7.00_Schurn=1.00_sigscale=0.90,,0.592398,,,0.831013,,0.9
1.0,0.009622,0.018985,0.575193,0.137998,1.737851,0.328029,7.409391,9.709069,0.7631412445415725,14.561718,18.163957,0.8016820343716956,0.30719,0.337873,0.9091877717367177,0.77962,0.741181,nan,0.091022,1.081028,258.433859,0.901959,0.965218,nan,7.0,rho=7.00_Schurn=1.00_sigscale=0.95,,0.586702,,,0.827021,,0.95
1.0,0.007374,0.018452,0.580667,0.139513,1.738949,0.327966,7.54895,9.621849,0.784563341203962,14.85602,18.240055,0.8144723247819153,0.303271,0.330175,0.918515938517453,0.779442,0.72189,nan,0.082167,1.066962,229.008896,0.915063,0.949346,nan,7.0,rho=7.00_Schurn=1.00_sigscale=1.00,,0.58929,,,0.830025,,1.0
1.0,0.008229,0.018278,0.581136,0.141634,1.770794,0.333892,7.622474,9.866817,0.7725362698021054,14.867334,18.574166,0.8004307703506041,0.306553,0.332785,0.9211743317757712,0.785722,0.737061,nan,0.075252,1.082641,196.682206,0.9051,0.947108,nan,7.0,rho=7.00_Schurn=1.00_sigscale=1.05,,0.591208,,,0.829371,,1.05
1.0,0.007268,0.018351,0.577244,0.141658,1.800185,0.334777,7.799324,9.901176,0.7877169338268506,15.120246,18.592101,0.813261825546236,0.311208,0.33676,0.9241240052262738,0.788028,0.742406,nan,0.074057,1.096805,214.395492,0.909821,0.958903,nan,7.0,rho=7.00_Schurn=1.00_sigscale=1.10,,0.598177,,,0.828839,,1.1
2.0,0.008942,0.016713,0.584854,0.139052,1.724589,0.322581,7.478158,9.75477,0.7666155122058234,14.530572,18.277226,0.7950097022381843,0.298878,0.329874,0.9060368504338019,0.778609,0.73491,nan,0.087294,1.069331,260.415415,0.902215,0.973527,nan,7.0,rho=7.00_Schurn=2.00_sigscale=0.90,,0.601912,,,0.832151,,0.9
2.0,0.007405,0.018112,0.584482,0.139292,1.755404,0.329051,7.610899,9.688491,0.7855608267582639,14.883048,18.37481,0.8099701711201368,0.305768,0.329964,0.9266707883284238,0.788069,0.724554,nan,0.076637,1.069558,227.075171,0.905879,0.971504,nan,7.0,rho=7.00_Schurn=2.00_sigscale=0.95,,0.595183,,,0.831691,,0.95
2.0,0.007633,0.017755,0.571293,0.136357,1.852564,0.335047,8.005059,10.114447,0.7914480149038301,15.486865,18.799309,0.8237996939142815,0.319327,0.342176,0.9332244225194054,0.797238,0.751836,nan,0.073742,1.104793,226.674304,0.911457,0.932744,nan,7.0,rho=7.00_Schurn=2.00_sigscale=1.00,,0.597427,,,0.827899,,1.0
